"id","year","value","budget-type"
"AE",2000,,"actual"
"AE",2001,,"actual"
"AE",2002,,"actual"
"AE",2003,,"actual"
"AE",2004,,"actual"
"AE",2005,,"actual"
"AE",2006,,"actual"
"AE",2007,,"actual"
"AE",2008,,"actual"
"AE",2009,,"actual"
"AE",2010,,"actual"
"AE",2011,,"actual"
"AE",2012,40.1459854014599,"actual"
"AE",2013,40.7552447552448,"actual"
"AE",2014,37.3783783783784,"actual"
"AE",2015,31.0441176470588,"proj"
"AE",2016,32.5652173913043,"proj"
"AF",2000,,"actual"
"AF",2001,,"actual"
"AF",2002,,"actual"
"AF",2003,2.66545454545455,"actual"
"AF",2004,4.13333333333333,"actual"
"AF",2005,4.19672131147541,"actual"
"AF",2006,5.98265895953757,"actual"
"AF",2007,6.74473067915691,"actual"
"AF",2008,6.44787644787645,"actual"
"AF",2009,6.82042833607908,"actual"
"AF",2010,8.9185393258427,"actual"
"AF",2011,10.9928229665072,"actual"
"AF",2012,10.1650485436893,"actual"
"AF",2013,9.73214285714286,"actual"
"AF",2014,8.54700854700855,"actual"
"AF",2015,9.525,"proj"
"AF",2016,,"proj"
"AG",2000,15.406427221172,"actual"
"AG",2001,17.1517472474868,"actual"
"AG",2002,18.2971850484541,"actual"
"AG",2003,18.831569664903,"actual"
"AG",2004,19.4600164880462,"actual"
"AG",2005,18.9751206832529,"actual"
"AG",2006,19.836867862969,"actual"
"AG",2007,21.1433496121804,"actual"
"AG",2008,20.5332600329852,"actual"
"AG",2009,18.6981885170402,"actual"
"AG",2010,21.0045662100457,"actual"
"AG",2011,19.6656833824975,"actual"
"AG",2012,20.5656317245619,"actual"
"AG",2013,18.6304750154226,"proj"
"AG",2014,20.6248104337276,"proj"
"AG",2015,22.7352941176471,"proj"
"AG",2016,22.1211259596247,"proj"
"AL",2000,24.0694610778443,"actual"
"AL",2001,24.0641207815275,"actual"
"AL",2002,24.672131147541,"actual"
"AL",2003,24.188790560472,"actual"
"AL",2004,24.6070460704607,"actual"
"AL",2005,24.5771144278607,"actual"
"AL",2006,25.3722794959908,"actual"
"AL",2007,25.5693581780538,"actual"
"AL",2008,26.5462962962963,"actual"
"AL",2009,25.7982456140351,"actual"
"AL",2010,25.491935483871,"actual"
"AL",2011,25.1230769230769,"actual"
"AL",2012,24.4210526315789,"actual"
"AL",2013,23.5555555555556,"actual"
"AL",2014,25.6474820143885,"actual"
"AL",2015,25.5138888888889,"actual"
"AL",2016,26.48,"proj"
"AM",2000,,"actual"
"AM",2001,15.4237288135593,"actual"
"AM",2002,15.3897058823529,"actual"
"AM",2003,14.6049382716049,"actual"
"AM",2004,14.8586387434555,"actual"
"AM",2005,15.2723214285714,"actual"
"AM",2006,17.484962406015,"actual"
"AM",2007,19.3365079365079,"actual"
"AM",2008,20.0448179271709,"actual"
"AM",2009,20.203821656051,"actual"
"AM",2010,20.4075144508671,"actual"
"AM",2011,20.5449735449735,"actual"
"AM",2012,20.5081967213115,"actual"
"AM",2013,22.3377192982456,"proj"
"AM",2014,21.8985507246377,"proj"
"AM",2015,22.4572564612326,"proj"
"AM",2016,23.7389635316699,"proj"
"AO",2000,,"actual"
"AO",2001,,"actual"
"AO",2002,,"actual"
"AO",2003,,"actual"
"AO",2004,,"actual"
"AO",2005,,"actual"
"AO",2006,50.1458333333333,"actual"
"AO",2007,45.7909482758621,"actual"
"AO",2008,50.9018987341772,"actual"
"AO",2009,34.5575959933222,"actual"
"AO",2010,43.4696569920844,"actual"
"AO",2011,48.8343558282209,"actual"
"AO",2012,45.9454545454545,"actual"
"AO",2013,40.0743801652893,"actual"
