"id","year","value","budget-type"
"AE",2000,,"actual"
"AE",2001,,"actual"
"AE",2002,,"actual"
"AE",2003,,"actual"
"AE",2004,,"actual"
"AE",2005,,"actual"
"AE",2006,,"actual"
"AE",2007,,"actual"
"AE",2008,,"actual"
"AE",2009,,"actual"
"AE",2010,,"actual"
"AE",2011,,"actual"
"AE",2012,33617.6008758174,"actual"
"AE",2013,34364.4666995291,"actual"
"AE",2014,31778.9247250713,"actual"
"AE",2015,20864.7639108969,"proj"
"AE",2016,21380.8702223093,"proj"
"AE",2017,23195.5237773079,"proj"
"AE",2018,25119.7032920135,"proj"
"AE",2019,26592.8249209229,"proj"
"AE",2020,27804.2063154424,"proj"
"AF",2000,,"actual"
"AF",2001,,"actual"
"AF",2002,,"actual"
"AF",2003,5.6136624110064,"actual"
"AF",2004,10.413625868702,"actual"
"AF",2005,14.0262912119549,"actual"
"AF",2006,23.682566506965,"actual"
"AF",2007,34.9587392333975,"actual"
"AF",2008,46.0595852494921,"actual"
"AF",2009,54.1984265673455,"actual"
"AF",2010,87.6752466800926,"actual"
"AF",2011,136.603943770568,"actual"
"AF",2012,164.71190297065,"actual"
"AF",2013,174.043456366087,"actual"
"AF",2014,161.019877227109,"actual"
"AF",2015,183.97268678719,"proj"
"AF",2016,,"proj"
"AF",2017,,"proj"
"AF",2018,,"proj"
"AF",2019,,"proj"
"AF",2020,,"proj"
"AG",2000,2082.51486090691,"actual"
"AG",2001,2332.82591584367,"actual"
"AG",2002,2577.85898207664,"actual"
"AG",2003,2714.76410672655,"actual"
"AG",2004,3108.66842508097,"actual"
"AG",2005,3440.78686647867,"actual"
"AG",2006,4082.77051589372,"actual"
"AG",2007,5178.70566758117,"actual"
"AG",2008,5344.3307948084,"actual"
"AG",2009,4315.06510877626,"actual"
"AG",2010,4640.19429628445,"actual"
"AG",2011,4332.63386609941,"actual"
"AG",2012,4971.23390082502,"actual"
"AG",2013,4354.52857738375,"proj"
"AG",2014,4730.1209430835,"proj"
"AG",2015,5367.98100026389,"proj"
"AG",2016,5418.72397821728,"proj"
"AG",2017,5696.02760730246,"proj"
"AG",2018,6062.35549430993,"proj"
"AG",2019,6437.92337316081,"proj"
"AG",2020,6845.68376072378,"proj"
"AL",2000,586.195006601492,"actual"
"AL",2001,690.170432157604,"actual"
"AL",2002,796.985820355312,"actual"
"AL",2003,916.930836483054,"actual"
"AL",2004,1051.83828675606,"actual"
"AL",2005,1188.64091990114,"actual"
"AL",2006,1373.64500462028,"actual"
"AL",2007,1611.35478000588,"actual"
"AL",2008,1962.54985901414,"actual"
"AL",2009,2075.27052323949,"actual"
"AL",2010,2342.73240038316,"actual"
"AL",2011,2483.40949780984,"actual"
"AL",2012,2499.770536612,"actual"
"AL",2013,2457.04819953815,"actual"
"AL",2014,2796.8917285633,"actual"
"AL",2015,2892.83755703758,"actual"
"AL",2016,3172.81340237252,"proj"
"AL",2017,3414.76487237268,"proj"
"AL",2018,3748.83101383182,"proj"
"AL",2019,4137.76589788812,"proj"
"AL",2020,4565.86596082125,"proj"
"AL",2021,5039.34709728024,"proj"
"AM",2000,,"actual"
"AM",2001,172.900556060216,"actual"
"AM",2002,201.444667759546,"actual"
"AM",2003,238.864443618395,"actual"
"AM",2004,305.695779131667,"actual"
"AM",2005,381.992473029123,"actual"
"AM",2006,545.13997180899,"actual"
"AM",2007,746.503823001068,"actual"
"AM",2008,932.54593861509,"actual"
"AM",2009,850.60381975286,"actual"
"AM",2010,1023.7393822701,"actual"
"AM",2011,1174.16226634899,"actual"
"AM",2012,1390.92687540956,"actual"
