"id","year","value","budget-type"
"AE",2000,,"actual"
"AE",2001,,"actual"
"AE",2002,,"actual"
"AE",2003,,"actual"
"AE",2004,,"actual"
"AE",2005,,"actual"
"AE",2006,,"actual"
"AE",2007,,"actual"
"AE",2008,,"actual"
"AE",2009,,"actual"
"AE",2010,,"actual"
"AE",2011,,"actual"
"AE",2012,33617.6008758174,"actual"
"AE",2013,34364.4666995291,"actual"
"AE",2014,31819.1366688666,"actual"
"AE",2015,20864.7639108969,"proj"
"AE",2016,21380.8702223093,"proj"
"AE",2017,23195.5237773079,"proj"
"AE",2018,25119.7032920135,"proj"
"AE",2019,26592.8249209229,"proj"
"AE",2020,27804.2063154424,"proj"
"AF",2000,,"actual"
"AF",2001,,"actual"
"AF",2002,,"actual"
"AF",2003,14.6410901967824,"actual"
"AF",2004,25.4103532089266,"actual"
"AF",2005,39.486201369655,"actual"
"AF",2006,64.8696386929913,"actual"
"AF",2007,78.41439425269,"actual"
"AF",2008,119.69976046874,"actual"
"AF",2009,122.535573108781,"actual"
"AF",2010,174.522065832499,"actual"
"AF",2011,264.140596387703,"actual"
"AF",2012,409.970600899249,"actual"
"AF",2013,434.150603540723,"actual"
"AF",2014,451.177695990358,"actual"
"AF",2015,542.582613437989,"proj"
"AF",2016,,"proj"
"AF",2017,,"proj"
"AF",2018,,"proj"
"AF",2019,,"proj"
"AF",2020,,"proj"
"AG",2000,2542.45679337714,"actual"
"AG",2001,2399.23625450291,"actual"
"AG",2002,2737.14661148617,"actual"
"AG",2003,2735.10417964044,"actual"
"AG",2004,3144.22616601603,"actual"
"AG",2005,3582.18906647095,"actual"
"AG",2006,4586.40174729509,"actual"
"AG",2007,5319.43136506979,"actual"
"AG",2008,5558.96255363605,"actual"
"AG",2009,4315.06510877626,"actual"
"AG",2010,4964.43147537265,"actual"
"AG",2011,4498.71816429988,"actual"
"AG",2012,4978.6647437261,"actual"
"AG",2013,4354.52857738375,"proj"
"AG",2014,4764.90124413558,"proj"
"AG",2015,5367.98100026389,"proj"
"AG",2016,5418.72397821728,"proj"
"AG",2017,5696.02760730246,"proj"
"AG",2018,6062.35549430993,"proj"
"AG",2019,6437.92337316081,"proj"
"AG",2020,6845.68376072378,"proj"
"AL",2000,612.99446485102,"actual"
"AL",2001,708.866230727281,"actual"
"AL",2002,818.697726424792,"actual"
"AL",2003,931.467544866322,"actual"
"AL",2004,1066.89764548715,"actual"
"AL",2005,1225.93633337982,"actual"
"AL",2006,1403.41248101838,"actual"
"AL",2007,1619.83559463749,"actual"
"AL",2008,1991.30015342593,"actual"
"AL",2009,2106.31843314175,"actual"
"AL",2010,2376.82467827548,"actual"
"AL",2011,2512.30403575129,"actual"
"AL",2012,2542.87002862255,"actual"
"AL",2013,2501.08962952987,"actual"
"AL",2014,2876.1304563571,"actual"
"AL",2015,2981.0242218139,"actual"
"AL",2016,3275.05915149228,"proj"
"AL",2017,3527.03335989729,"proj"
"AL",2018,3871.96472092281,"proj"
"AL",2019,4274.52994967095,"proj"
"AL",2020,4717.91154651165,"proj"
"AL",2021,5207.57318075639,"proj"
"AM",2000,,"actual"
"AM",2001,190.485274516038,"actual"
"AM",2002,247.161923940045,"actual"
"AM",2003,291.664994764811,"actual"
"AM",2004,316.140474649727,"actual"
"AM",2005,392.935256530103,"actual"
"AM",2006,559.322284556547,"actual"
"AM",2007,775.309799750699,"actual"
"AM",2008,952.221003129675,"actual"
"AM",2009,879.028789769822,"actual"
"AM",2010,1064.62516414238,"actual"
"AM",2011,1261.7028216176,"actual"
"AM",2012,1417.77015986134,"actual"
